Alces alces
Bolboschoenus maritimus ssp. paludosus
Bulbostylis capillaris
Carex adusta
Carex albicans
Carex arctata
Carex argyrantha
Carex atlantica
Carex baileyi
Carex brunnescens ssp. brunnescens
Carex brunnescens ssp. sphaerostachya
Carex bushii
Carex buxbaumii
Carex canescens ssp. canescens
Carex canescens ssp. disjuncta
Carex communis
Carex conoidea
Carex crawfordii
Carex crinita var. crinita
Carex cumulata
Carex debilis var. rudgei
Carex deflexa
Carex deweyana
Carex disperma
Carex echinata ssp. echinata
Carex exilis
Carex flava
Carex foenea
Carex folliculata
Carex gracillima
Carex gynandra
Carex haydenii
Carex hormathodes
Carex houghtoniana
Carex hystericina
Carex intumescens
Carex lacustris
Carex laevivaginata
Carex lasiocarpa var. americana
Carex laxiflora
Carex lenticularis
Carex leptalea
Carex leptonervia
Carex limosa
Carex lucorum
Carex lupulina
Carex lurida
Carex mackenziei
Carex magellanica ssp. irrigua
Carex michauxiana
Carex nigra
Carex normalis
Carex novae-angliae
Carex oligosperma
Carex ormostachya
Carex paleacea
Carex pallescens
Carex panicea
Carex pauciflora
Carex projecta
Carex pseudocyperus
Carex radiata
Carex recta
Carex scabrata
Carex scoparia
Carex silicea
Carex stipata
Carex stricta
Carex tenera
Carex tonsa
Carex torta
Carex tribuloides
Carex trisperma
Carex trisperma var. billingsii
Carex umbellata
Carex utriculata
Carex vacillans
Carex vesicaria
Carex viridula
Carex vulpinoidea
